movie_poster,movie_title,movie_date,movie_audience,movie_story,movie_review,movie_actor,movie_cine,movie_netizens
"http://image.cine21.com/resize/cine21/poster/2019/0729/15_38_08__5d3e9450ebd04[X230,330].jpg",분노의 질주: 홉스&쇼,개봉일 : 2019-08-14,,"
					
									,
									공식적으로만 세상을 4번 구한 전직 베테랑 경찰 ‘루크 홉스’(드웨인 존슨),
분노 조절 실패로 쫓겨난 전직 특수요원 ‘데카드 쇼’(제이슨 스타뎀)  ,
99.9% 완벽히 다른 두 남자는 전 세계를 위협하는 불가능한 미션을 해결하기 위해,
어쩔 수 없이 한 팀이 되고 마는데…				","
							
미국 외교안보국 요원 루크 홉스(드웨인 존슨)와 영국 군인 출신의 쫓겨난 무법자 데카드 쇼(제이슨 스타뎀)가 다시 만났다. <분노의 질주: 더 세븐>(2015)에서 앙숙으로 처음 만났던 두 사람은 어느새 미국과 영국을 대표하는 대표 요원의 자리에 올랐다. 두 사람의 협업은 꽤 매력적인 조합이다. 유사한 헤어스타일에서 풍겨지는 묘한 동질감은 말할 것도 없고 ...							",데이빗 레이치,6.00,6.60
"http://image.cine21.com/resize/cine21/poster/2018/0124/09_57_20__5a67d9f0be580[X230,330].jpg",50가지 그림자: 해방,개봉일 : 2018-02-21,,"
					
									,
									모든 과거를 잊고 서로에게 더 깊게 빠져든 ‘크리스찬 그레이’와 ‘아나스타샤’. ,
그레이의 독특한 취향으로 시작된 이 비밀스러운 관계는 ,
더 큰 자극을 원하는 아나스타샤로 인해 역전되고, ,
마침내 그녀의 본능이 지배하는 마지막 절정의 순간을 맞이하게 되는데…				","
							
영화는 그레이(제이미 도넌)와 아나(다코타 존슨)의 결혼식에서 시작된다. 신혼여행을 다녀온 후 잭(에릭 존슨)에 의해 미행당하고 있다는 사실을 알게 된 두 사람은 불안 속에서 결혼 생활을 시작한다. 그레이는 잭의 위협으로부터 아나를 보호하려 하지만, 그레이의 보호는 아나에게 구속으로 다가온다. 서로에게 적당한 거리를 찾지 못한 그레이와 아나는 갈등을 일으키지만, 둘만...							",제임스 폴리,2.50,8.00
"http://image.cine21.com/resize/cine21/poster/2020/0212/11_20_02__5e4360d27fc76[X230,330].jpg",조조 래빗,개봉일 : 2020-02-05,,"
					
									제2차 세계대전 말기, 엄마 ‘로지’(스칼렛 요한슨)와 단둘이 살고 있는 10살 소년 ‘조조’(로만 그리핀 데이비스).,
원하던 독일 소년단에 입단하지만 겁쟁이 토끼라 놀림 받을 뿐이다. ,
상심한 ‘조조’에게 상상 속 친구 ‘히틀러’(타이카 와이티티)는 유일한 위안이 된다.  ,
,
‘조조’는 어느 날 우연히 집에 몰래 숨어 있던 미스터리한 소녀 ‘엘사’(토마신 맥켄지)를 발견하게 된다.,
세상에서 가장 위험한 인물이 왜 여기에?!,
,
,				","
							
전쟁이 막바지에 접어든 1940년대 독일, 엄마 로지(스칼렛 요한슨)와 단둘이 살고 있는 10살 소년 조조(로만 그리핀 데이비스)는 독일 소년단에 입단한다. 상상 속 친구 히틀러(타이카 와이티티)의 응원에 힘입어 소년단 생활을 시작한 조조는 나약한 모습으로 단원 사이에서 놀림거리가 되고 만다. 설상가상으로 조조는 수류탄 사고까지 일으키며 얼굴과 다리에 부상을 입는다....							",타이카 와이티티,7.00,8.60
"http://image.cine21.com/resize/cine21/poster/2018/0523/10_16_38__5b04c0f6ef32e[X230,330].jpg",쇼 독스,,,줄거리가 없습니다.,,라자 고스넬,,
"http://image.cine21.com/resize/cine21/poster/2019/0813/17_25_20__5d5273f0e875d[X230,330].jpg",더 키친,,,줄거리가 없습니다.,,안드레아 베어로프,,
"http://image.cine21.com/resize/cine21/poster/2018/0126/15_48_40__5a6acf4823648[X230,330].jpg",무문서동,,,줄거리가 없습니다.,,이방방,,
"http://image.cine21.com/resize/cine21/poster/2014/0915/10_16_51__54163e037965d[X230,330].jpg",돌핀 테일 2,,,"
					
									 				",,찰스 마틴 스미스,6.00,
"http://image.cine21.com/resize/cine21/poster/2014/0422/12_26_44__5355e174caf14[X230,330].jpg",다이버전트,개봉일 : 2014-04-16,"누적관객 : 424,041명","
					
									어디에도 속하지 않은 금기된 존재, 다이버전트!,
선택하라! 행동하라! 싸워라! 그들의 선택이 세상을 바꾼다!,
 ,
가까운 미래 시카고, 잦은 전쟁과 자연재해로 폐허가 된 도시에서 인류는 하나의 사회, 다섯개의 분파로 나뉘어 자신이 속한 분파의 행동규범을 절대적으로 따르며 철저히 통제된 세상에 살게 된다. ‘핏줄보다 분파’가 중요한 사회에서 모든 구성원은 열여섯 살이 되면 평생 살아갈 분파를 결정하기 위해 테스트를 치르게 되고, 그 중 어느 분파에도 속하지 않아 금기시 되는 존재 ‘다이버전트’로 판정 받는 소녀 ‘트리스’가 나타난다. 정부에서 개발한 감각 통제 시스템으로 통제할 수 없는 강한 의지를 지닌 ‘다이버전트’. 그들을 둘러싼 거대한 음모와 배신, 숨겨진 어두운 비밀이 밝혀지며 모든 사람들이 지금까지 믿고 있던 모든 것이 산산이 부서지기 시작하는데…,
 ,
“그들은 질서와 복종을, 나는 자유와 혼돈을 택했다!”,
4월, 리얼 액션 판타지의 시작!  				","
							
지금으로부터 그리 멀지 않은 미래, 전쟁으로 큰 피해를 입은 인류는 평화를 유지하기 위한 방법으로 서로 다른 가치를 가진 다섯개의 분파(이타심을 바탕으로 국가 정치를 담당하는 애브니게이션, 용기를 미덕으로 치안을 담당하는 돈트리스, 뛰어난 지능으로 국가의 ‘싱크탱크’ 역할을 하는 에러다이트, 평화주의자들의 집단인 애머티, 그리고 정직을 바탕으로 국가의 법을 제정하는 ...							",닐 버거,5.00,6.56
"http://image.cine21.com/resize/cine21/poster/2015/0109/18_27_26__54af9efe9fe39[X230,330].jpg",박물관이 살아있다: 비밀의 무덤,개봉일 : 2015-01-14,,"
					
									2015년 첫번째 판타지 블록버스터! 이번엔 영국이다!,
,
밤마다 모든 것이 살아나는 뉴욕 자연사 박물관.,
야간 경비원 ‘래리’(벤 스틸러)는 대통령 ‘테디 루즈벨트’(로빈 윌리엄스),,
카우보이 ‘제레다야’(오웬 윌슨), 말썽꾸러기 원숭이 ‘덱스터’ 등,
매일 밤 살아나는 전시물들과 함께 판타스틱한 박물관 재개장 전야 이벤트를 개최한다.,
,
하지만 점차 마법의 기운을 잃어 가는 황금석판으로 인해,
다시는 살아나지 못할 위기에 처한 그들은,
황금석판의 비밀을 밝혀내기 위해 영국 런던 대영박물관으로 향한다.,
,
주어진 시간은 단 하룻밤! 그들은 무사히 살아 돌아갈 수 있을 것인가?! 				","
							
밤마다 살아 움직이던 뉴욕 자연사박물관의 전시물들에 큰 위기가 닥친다. 그들에게 생명을 불어넣어줬던 아크멘라(레미 맬렉)의 황금 석판이 부식되기 시작한 것이다. 박물관의 전시물들은 이상행동을 보이거나 돌처럼 굳어가고, 래리(벤 스틸러)는 석판의 비밀을 풀기 위해 대영박물관으로 여정을 떠난다.


<박물관이 살아있다: 비밀의 무덤>은 시리즈를 통틀어 미국 이...							",숀 레비,5.67,6.42
"http://image.cine21.com/resize/cine21/poster/2018/0404/11_25_33__5ac4379dda3ab[X230,330].jpg",몬태나,개봉일 : 2018-04-19,,"
					
									전설적인 대위,
모든 가족을 잃은 여인,
일생일대의 적,
,
모든 증오가 끝나는 그곳 몬태나로 향하는 1,000마일의 여정,
그의 마지막 임무가 시작된다				","
							
수십년간 아메리칸 인디언을 토벌해온 전설적인 대위 조셉 블로커(크리스천 베일)는 불치병으로 곧 죽음을 앞둔 샤이엔 인디언 족장 옐로우 호크(웨스 스투디)와 그의 가족을 고향 몬태나로 호송할 명을 받는다. 임무 수행 도중, 그는 인디언에게 가족을 잃은 로잘리 퀘이드(로저먼드 파이크)를 비롯해, 인디언 일가 전체를 살해해 군사재판을 받게 된 탈영 병장 찰스 윌스(벤 포스...							",스콧 쿠퍼,6.25,8.25
