movie_poster,movie_title,movie_date,movie_audience,movie_genre,movie_story,movie_review,movie_director,movie_actor,movie_cine,movie_netizens
"http://image.cine21.com/resize/cine21/poster/2020/0427/11_28_37__5ea64355737e0[X230,330].jpg",파도를 걷는 소년,개봉일 : 2020-05-14,누적관객 : 806명,드라마,"
					
									,
									제주에서 외국인 불법 취업 브로커 일을 하는 이주노동자 2세 김수.,
폭력전과로 출소한 수는 사회봉사로 해안을 청소하다가,
바다에서 서핑하고 있는 서퍼들의 모습에 빠진다.,
쓰레기통에서 우연히 주운 보드를 가지고 무작정 바다에 뛰어든 수.,
그런데 제주 서퍼 해나가 위험하다며 수에게 태클을 건다.,
수는 서프숍을 운영하는 똥꼬와 서퍼 해나에게 천천히 서핑을 배우게 되고,,
서핑에 빠져들수록 외국인 불법 취업 브로커 일은 점점 잊게 되는데….,
,
수의 새로운 제주 서핑라이프는 무사히 지속될 수 있을까?				","
							바닷가를 찾은 한 소년이 서핑을 즐기는 이들을 홀린 듯이 쳐다본다. 이 소년은 외국인 불법 취업 브로커 일을 하고 있는 이주노동자 2세 김수(곽민규)다. 그는 폭행죄로 집행유예를 선고받아 또 한번 범죄가 발각되면 교도소에 갈 수도 있는 상황에 처해 있다. 그렇게 사회봉사 시간을 채우기 위해 쓰레기를 주우러 바닷가에 왔다가 새로운 세계에 눈뜨게 된 것이다. 우연히 길거...							",최창환,"곽민규,김현목,민동호,김해나,강길우",5.67,
"http://image.cine21.com/resize/cine21/poster/2020/0424/18_49_31__5ea2b62be7ad1[X230,330].jpg",콜 오브 와일드,개봉일 : 2020-05-14,"누적관객 : 34,107명","어드벤처, 드라마, 가족","
					
									1890년대 골드러시 시대, ,
금광이 발견되었다는 소식에 일확천금을 노린 수많은 사람들이 알래스카로 몰려든다. ,
   ,
따뜻한 캘리포니아의 부유한 가정에서 길러지던 개 ‘벅’은 ,
한순간 납치되어 알래스카 유콘으로 팔려가게 되고 ,
안락했던 과거와는 전혀 다른 삶이 시작된다. ,
   ,
광활한 대자연, 거친 약육강식의 세계 속 ,
우편배달 썰매견 팀의 신참이 된 ‘벅’. ,
끊임없는 역경이 그를 찾아오지만, ,
진정한 용기는 ‘벅’을 점차 팀의 리더 자리에 오르게 하는데… ,
  ,
야성의 부름에 응답하라! 위대한 여정이 펼쳐진다!				","
							1890년대 골드러시 시대, 따뜻한 캘리포니아의 가정에서 자라던 천방지축 어린 강아지 벅(테리 노터리)은 개장수에게 납치되어 알래스카 유콘으로 팔려간다. 우여곡절 끝에 신참 우편배달 썰매견으로 일하게 된 벅은 알래스카의 광활하고 혹독한 자연 속에서 전혀 다른 삶을 이어간다. 특유의 성실함으로 주인의 사랑을 받는 벅은 어느덧 어엿한 리더로 거듭난다. 기쁨도 잠시, 알래...							",크리스 샌더스,"해리슨 포드,오마 사이,카렌 길런,카라 지,댄 스티븐스,브래드리 휘트포드",6.00,6.50
"http://image.cine21.com/resize/cine21/poster/2020/0420/10_49_07__5e9cff93a8e84[X230,330].jpg",해피 해피 레스토랑,개봉일 : 2020-05-14,"누적관객 : 1,004명",가족,"
					
									바다가 보이는 목장에서 가족과 함께 수제 치즈를 만드는 와타루. 자연과 더불어 식재료를 생산하는 일에 자부심을 지닌 마을 친구들과 함께여서 하루하루가 즐겁다.,
,
와타루와 친구들은 더 많은 사람들과 먹는 기쁨을 나누기 위해 아름다운 바다가 보이는 절벽 위, 자신들이 키운 농작물을 재료로 한 레스토랑 오픈을 준비한다. 하지만 아버지처럼 따르던 치즈 스승 오타니가 갑작스럽게 세상을 떠나자 와타루는 큰 슬픔에 빠지는데…				","
							바다가 보이는 목장에서 수제 치즈를 만드는 와타루(오이즈미 요)는 마을의 동료들과 함께 신선한 농작물을 재료로 한 레스토랑 오픈을 준비한다. 믿고 따르던 스승 오타니(고히나타 후미요)가 세상을 떠난 후 크게 낙심하지만 가족, 동료들의 위로를 통해 상황을 극복해간다. 익숙하고 전형적인 서사지만 그렇기에 무리 없이 위로를 전한다. 평화로운 전경, 신선한 재료, 각자의 이...							",후카가와 요시히로,"오오이즈미 요,혼조 마나미,오카다 마사키,코히나타 후미요,마키타 스포츠,타카하시 츠토무,마시마 히데카즈",5.00,
"http://image.cine21.com/resize/cine21/poster/2020/0417/12_01_33__5e991c0d82058[X230,330].jpg",톰보이,개봉일 : 2020-05-14,"누적관객 : 26,297명",드라마,"
					
									새로 이사 온 아이, ‘미카엘’.,
파란색을 좋아하고, 끝내주는 축구 실력과 유난히 잘 어울리는 짧은 머리로,
친구들을 사로잡는 그의 진짜 이름은 ‘로레’!,
,				","
							<톰보이>는 <타오르는 여인의 초상>(2019)으로 제72회 칸국제영화제 각본상과 퀴어종려상을 수상한 셀린 시아마 감독이 2011년에 만든 두 번째 장편영화다. 여름방학 중에 새 동네로 이사온 10살의 ‘톰보이’ 미카엘(조 허란)은 이웃집 소녀 리사(진 디슨)와 통성명을 하고 친구가 된다. 리사덕에 동네의 또래 남자아이들과도 스스럼없이 어울리게 ...							",셀린 시아마,"조 허란,말론 레바나,진 디슨,소피 카타니,마티유 데미",7.33,5.67
"http://image.cine21.com/resize/cine21/poster/2020/0513/11_45_09__5ebb5f35bcd6a[X230,330].jpg",동감,개봉일 : 2020-05-14,"누적관객 : 5,512명",드라마,"
					
									1979년에 사는 여대생 ‘소은’,
2000년에 사는 남학생 ‘인’,
,
개기월식이 이루어지던 날,
스며든 달빛과 함께 낡은 무전기에 수신호가 울린다.,
,
,
다른 시간 속에 놓여진 두 사람은,
무전을 통해 매일 밤 이야기를 나누며,
같은 사랑을 품게 되는데…,
,
,				",,김정권,"김하늘,유지태,하지원,박용우,김민주,신철진,김상원,유태균,이인옥,맹봉학",7.52,
"http://image.cine21.com/resize/cine21/poster/2020/0427/14_32_20__5ea66e64ebc17[X230,330].jpg",고양이 집사,개봉일 : 2020-05-14,"누적관객 : 2,375명",다큐멘터리,"
					
									,
									이름 빼고 다 주는 바이올린 가게 아저씨,,
짜장면 대신 고양이 도시락 배달하는 중국집 사장님부터,
급식소 만들어 주는 주민센터 사람들,,
남겨질 고양이들을 걱정하며 밥을 주는 생선가게 할머니,,
급식소를 제작하는 청사포 마을 청년 사업가까지!,
함께 살아갈 수 있다면 모든 것을 털려도 행복한 집사들의 사랑 이야기가 시작된다!				","
							<고양이 집사>는 길 위의 고양이들과 그 고양이들을 보살피며 살아가는 사람들의 이야기를 담은 다큐멘터리다. 영화는 고양이와의 공존을 꿈꾸는 ‘집사’들을 만나고자 고양이 마을 조성을 추진 중인 춘천 효자동을 시작으로 성남, 노량진, 부산 청사포, 파주 헤이리를 오간다. 그 출발점이자 중반부까지 이야기의 무대가 되는 춘천 효자동은 특히 다채로운 고양이와 집사들...							",이희섭,임수정,5.50,
"http://image.cine21.com/resize/cine21/poster/2020/0519/11_29_42__5ec34496eebaa[X230,330].jpg",루키스,개봉일 : 2020-05-20,"누적관객 : 5,359명",액션,"
					
									,
									위험천만 익스트림 스포츠를 즐기는 관종 ‘펑’(왕대륙)은,
마천루의 꼭대기를 점령하기 위한 사투를 벌이다가,
우연한 기회(?)로 전 세계를 장악하려는 국제범죄조직들의,
비밀 거래 현장에 착륙하게 되고,
그들을 쫓던 국제첩보조직 ‘팬텀’의 보스 ‘브루스’(밀라 요보비치)에 의해,
세계 테러를 막을 비밀 스파이로 스카우트되는데…,
,
,				","
							익스트림스포츠 현장을 생중계하는 스트리머 펑(왕대륙)은 맨손으로 고층 빌딩을 오르던 중 꼭대기에서 떨어진다. 낙하산 덕에 목숨을 구한 그는 범죄조직이 불법적인 거래를 벌이는 비밀기지에 불시착하고 만다. 펑은 당황한 나머지 거래하러 온 조직원 행세를 하고, 국제첩보조직 팬텀의 보스 브루스(밀라 요보비치)가 범죄조직을 소탕하면서 가까스로 기지를 빠져나온다. 그러나 이미 ...							",원금린,"밀라 요보비치,왕대륙,장용용,허위주,데이비드 맥기니스",2.50,
"http://image.cine21.com/resize/cine21/poster/2020/0427/14_26_30__5ea66d0657daa[X230,330].jpg",오퍼나지: 비밀의 계단,개봉일 : 2020-05-20,"누적관객 : 176,973명","판타지, 미스터리, 드라마, 공포","
					
									로라는 남편, 아들인 시몬과 함께 아픈 아이들을 위한 보호소를 열기 위해 자신이 자란 고아원으로 돌아온다. 오픈 파티 날, 로라는 새로 사귄 친구를 소개해주겠다고 떼를 쓰는 시몬을 다그친다. 화가 난 시몬은 집을 뛰쳐나가고 바다 앞 동굴에서 실종된다.,
6개월 후, 여전히 아들을 찾고 있는 로라는 조용한 집에서 공포스러운 존재를 느끼며 충격적인 진실과 마주하게 되는데…				","
							어릴 적에는 어둠만이 아니라 고요한 햇빛도 무서울 때가 있었다. 바람에 흔들리는 커튼이 이따금 그림자를 만들었다가 지울 때면 뒤에서 누군가 어른거리는 듯하여 자꾸 뒤를 돌아보게 되곤 했다. 빛과 정적과 짧은 흔들림이 만들어내던, 매우 고요한 공포. 스페인·멕시코 합작 공포영화 <오퍼나지: 비밀의 계단>은 성장과 더불어 잊혀진 듯했으나 문득문득 자신의 존재...							",후안 안토니오 바요나,"벨렌 루에다,페르난도 카요,로저 프린셉,제랄딘 채플린,몬테세라트 카룰라,마벨 리베라",6.33,7.26
"http://image.cine21.com/resize/cine21/poster/2020/0429/10_48_07__5ea8dcd71cd28[X230,330].jpg",초미의 관심사,개봉일 : 2020-05-27,"누적관객 : 3,876명",드라마,"
					
									,
									이태원에서 가수 ‘블루로 활동하며 주가를 올리고 있는 ‘순덕’(김은영).,
어느 날 성격 차이로 별거(?) 중이었던 엄마(조민수)가 들이닥쳐 엄청난 소식을 전한다.,
막내가 엄마의 가겟세와 ‘순덕’의 비상금을 들고 튀었다는 것!,
,
괘씸한 막내를 쫓기 위해 두 사람은 단 하루, 손을 잡기로 합의하고 이태원을 누비기 시작한다.,
그러나 극과 극의 성격을 가진 두 사람은 사사건건 부딪히기 시작하고,,
추적 끝에 밝혀지는 막내의 비밀은 수상하기 짝이 없는데...,
,
,				","
							‘블루’라는 예명으로 가수 활동 중인 순덕(김은영)은 어느 날 엄마(조민수)의 갑작스러운 방문에 당황한다. 자유로운 영혼이면서 한편으론 불같은 성질을 지닌 엄마는 오랜만에 만난 순덕에게 다짜고짜 화를 낸다. 다름 아닌 막내 유리(최지수)가 엄마의 가겟세를 갖고 달아났다는 것. 심드렁하던 순덕은 자신의 비상금마저 동생 유리에게 털렸다는 것을 알게 되자 엄마와 함께 동생...							",남연우,"조민수,치타,테리스 브라운",6.33,7.00
"http://image.cine21.com/resize/cine21/poster/2020/0428/56213_5ea7c4c2962e5[X230,330].jpg",비홀드 마이 하트,개봉일 : 2020-05-21,"누적관객 : 1,096명",드라마,"
					
									로맨틱한 남편이자 다정한 아빠였으며, 따뜻한 음악을 노래한 뮤지션 ‘스티븐’.,
그가 떠나고 남겨진 아내 ‘마거릿’과 십대 아들 ‘마커스’는,
그 어떤 말로도 위로되지 않는 힘겨운 시간을 보내는데...,
,
“당신이 있어 참 행복했습니다”				",,조슈아 레오나드,"마리사 토메이,찰리 플러머,티모시 올리펀트,미레유 에노스,에밀리 로빈슨,사키나 자프리,데이빗 콜",,
