movie_poster,movie_title,movie_engtitle,movie_date,movie_audience,movie_genre,movie_story,movie_review,movie_director,movie_actor,movie_cine,movie_netizens
"http://image.cine21.com/resize/cine21/poster/2020/0518/15_51_11__5ec2305fd199c[X230,330].jpg",언더워터,Underwater,개봉일 : 2020-05-27,"누적관객 : 101,385명","액션, 스릴러","
					
									,
									30일 동안 해저 시추 시설에서 엄청난 압력을 견디며 바다의 밑바닥을 뚫어야 하는 캐플러 기지의 대원들.,
어느 날, 큰 지진으로 콘크리트 구조물을 뚫고 급류가 들이 닥쳐 기지는 순식간에 파괴되고 대혼란이 일어난다.,
,
갑작스런 대재앙 속에서 가까스로 살아남은 대원들은 전기 엔지니어 노라를 비롯한 5명.,
이들이 시도해 볼 수 있는 유일한 방법은 또 다른 해저 기지 ‘로우벅’으로 이동해 탈출 포트를 찾는 것 뿐.,
,
하지만 어두운 심해엔 그들만이 존재하는 것이 아니었다.,
무언가 그들을 바짝 따라오고 있다.,
불가사의한 포식자와 쫓고 쫓기는 위험천만한 게임에 갇혀버린 대원들.,
살아남기 위해선 남은 용기를 전부 쥐어 짜내야만 한다. .,
,
,				","
							해저 11km 부근에서 지진이 발생한다. 시추시설 ‘케플러’에 머물던 노라(크리스틴 스튜어트)는 조금 늦게 사태를 인지한다. 300여명의 대원 중 탈출한 일부를 제외하고 대부분은 사망한다. 노라와 선장 루시앙(뱅상 카셀)을 비롯해 남은 자는 고작 6명뿐이다. 이들은 1.6km 떨어진 ‘로우벅’ 기지로 이동하기로 결정하고, 무거운 슈트를 입고 물속을 걷는다. 그러다 모...							",윌리엄 유뱅크,"크리스틴 스튜어트,뱅상 카셀,T.J. 밀러,제시카 헨윅,존 갤러거 주니어,마무두 아티",5.00,6.50
"http://image.cine21.com/resize/cine21/poster/2020/0513/11_00_24__5ebb54b8d5f7d[X230,330].jpg",그집,"Malasana 32,32 Malasana Street",개봉일 : 2020-05-27,"누적관객 : 27,889명","스릴러, 공포","
					
									,
									1976년 스페인 마드리드, 새 출발을 꿈꾸며 도시로 이주한 6명의 가족.,
그들이 이사한 ‘그 집’에는 수상한 기운이 감돌기 시작하고,,
마침내 가족의 꿈은 악몽이 되고 마는데...				","
							마놀로(이반 마르코스)는 6명의 가족과 함께 시골 생활을 접고 스페인 마드리드로 이사를 온다. 말라사나가 32번가에 새로운 보금자리를 마련한 가족은 희망에 부풀어 있다. 하지만 그들은 얼마 지나지 않아 집에서 이상한 현상들을 마주하게 되고, 편안해야 할 공간이 서서히 끔찍한 곳으로 변해간다. <그집>은 1976년 스페인 마드리드 말라사나가 32번지에서 일어...							",알버트 핀토,"베고냐 바르가스,이반 마르코스,베아 세구라,세르지오 카스텔라노스,이반 레네도,호세 루이스 데 마다리아가",6.00,5.00
"http://image.cine21.com/resize/cine21/poster/2020/0518/11_40_40__5ec1f5a87b0f6[X230,330].jpg",초능력소년사건,"超能事件,The Lapse",개봉일 : 2020-05-28,누적관객 : 518명,"판타지, 액션, 스릴러, 드라마, SF","
					
									,
									우연한 사고로 초능력을 갖게 된 소심한 대학생 ‘청밍’,
단, 능력을 쓸 때마다 기억도 조금씩 사라진다.,
,
사고 당시 같이 있었던 짝사랑 상대 ‘린’과 절친한 형 ‘훼이’,
세 사람은 청밍의 능력과 일상을 스마트폰으로 찍으며 함께 어울린다.,
,
초능력이 생겼지만 여전히 팍팍한 현실에 지쳐가는 청밍,
그는 훼이의 부추김에 떠밀려 현금 수송차를 털기로 하는데……				","
							아픈 어머니를 간호하며 성실하게 학교생활을 하던 청밍(동청밍)은 우연한 사고로 인생이 뒤바뀐다. 유성이 떨어지던 저녁, 짝사랑하는 린(진의함)을 구하려다 차에 치였는데 어쩐 일인지 초능력을 얻게 됐기 때문이다. 사고 현장에 함께 있던 친한 형 훼이(주아휘)까지 세 사람은 청밍의 능력을 신기해하며 많은 시간을 보내고, 각자의 스마트폰으로 일상을 기록한다. 하지만 청밍의...							",채수응,"동청밍,진의함,주아휘",4.00,
"http://image.cine21.com/resize/cine21/poster/2020/0526/18_00_48__5eccdac09c81e[X230,330].jpg",국도극장,Somewhere in Between,개봉일 : 2020-05-29,누적관객 : 312명,드라마,"
					
									,
									만년 고시생 기태가 고향 벌교로 돌아왔다.,
사법고시가 폐지되어 고시생이라는 그 서글픈 타이틀마저 이제는 쓸 수 없게 되었다.,
유배지로 향하듯 돌아온 고향엔 그다지 반가운 사람도, 반겨주는 사람도 없다.,
,
생계를 위해 낡은 재개봉 영화관 ‘국도극장’에서 일을 시작하는 기태.,
간판장이 겸 극장 관리인 오 씨는 ‘급하시다 해서 잠깐 도와주러’ 왔다는 기태가 못마땅하다.,
,
우연히 만나게 된 동창생이자 가수 지망생 영은은 기태와 달리 24시간을 쪼개 쓰며 여러 일을 전전하고,,
밤낮없이 술에 취해 있는 오 씨는 기태의 말동무가 되어준다.,
자식들을 위해 몸 아픈 것도 돌보지 않는 엄마는 여전히 안쓰럽다.,
기태는 왠지 이 사람들과, 다시 돌아온 고향이 싫지만은 않다.,
,
,				","
							사법고시 장수생 기태(이동휘)는 원치 않게 고향에 내려오게 된다. 그가 소개받은 일터는 오씨(이한위)가 직접 그린 포스터가 걸리고 방송국에서 희귀 문화재 체험하듯 가끔 취재도 오는 ‘국도극장’. 기태는 고향에서 잘 기억나지 않는 초등학교 동창 영은(이상희)을 만나면서 뜻밖의 전환점을 맞이하게 된다. 전지희 감독이 마흔살에 시나리오를 쓴 그의 첫 장편영화 <국도극...							",전지희,"이동휘,이한위,신신애,이상희,김서하,서현우,임성재,강태우,윤영민",6.33,
"http://image.cine21.com/resize/cine21/poster/2020/0414/10_43_16__5e951534a409c[X230,330].jpg",패왕별희,"覇王別姬,Farewell My Concubine",개봉일 : 2020-05-01,누적관객 : 27명,드라마,"
					
									어렸을 때부터 함께 경극을 해온 ‘두지’(장국영)와 ‘시투’(장풍의). ,
세상에 둘도 없는 절친한 아우와 형이지만, ,
‘두지’는 남몰래 ‘시투’에 대한 마음을 품고 있다.,
,
하지만 ‘시투’는 여인 ‘주샨’(공리)에 마음을 빼앗기고, ,
그로 인해 ‘두지’는 감정의 소용돌이에 빠지게 되는데…,
,
,				",,첸 카이거,"장국영,공리,장풍의,게유",8.40,
"http://image.cine21.com/resize/cine21/poster/2020/0518/16_02_26__5ec2330292fca[X230,330].jpg",매드맥스: 분노의 도로,Mad Max: Fury Road,개봉일 : 2020-06-04,"누적관객 : 3,895,438명","액션, 스릴러","
					
									,
									핵전쟁으로 멸망한 22세기. 얼마 남지 않은 물과 기름을 차지한 독재자 임모탄 조가 살아남은 인류를 지배한다.,
한편, 아내와 딸을 잃고 살아남기 위해 사막을 떠돌던 맥스(톰 하디)는 임모탄의 부하들에게 납치되어 노예로 끌려가고, 폭정에 반발한 사령관 퓨리오사(샤를리즈 테론)는 인류 생존의 열쇠를 쥔 임모탄의 여인들을 탈취해 분노의 도로로 폭주한다. ,
이에 임모탄의 전사들과 신인류 눅스(니콜라스 홀트)는 맥스를 이끌고 퓨리오사의 뒤를 쫓는데... ,
끝내주는 날, 끝내주는 액션이 폭렬한다!,
 				",,조지 밀러,"톰 하디,샤를리즈 테론,니콜라스 홀트,휴 키스-번,조 크라비츠,로지 헌팅턴-휘틀리,라일리 코프,메간 게일,애비 리,코트니 이튼",8.88,8.40
"http://image.cine21.com/resize/cine21/poster/2020/0522/11_47_10__5ec73d2e0a93d[X230,330].jpg",레미: 집 없는 아이,"Remi sans famille,Remi: Nobody’s Boy",개봉일 : 2020-05-28,"누적관객 : 3,982명","어드벤처, 드라마, 가족","
					
									,
									자신이 버려진 아이란 걸 알게 된 소년 레미는,
어느 날 거리의 음악가 비탈리스를 만나게 된다.,
소년이 가진 아름다운 목소리와 노래의 재능을 알아본 비탈리스는,
레미에게 따뜻한 스승이자 인생 멘토가 되어주고,,
두 사람은 동물 친구들과 함께 프랑스 전역을 여행하며 공연을 이어간다.,
,
거듭되는 시련들 속에서도 희망을 잃지 않고 꿈을 노래하던 레미는,
어느 날 자신의 출생에 숨겨진 비밀을 풀어줄 단서를 알게 되는데...,
과연, 레미는 자신의 진짜 가족을 찾을 수 있을까?,
,
,				","
							아름다운 목소리를 소유한 10살 소년 레미(말룸 파킨)는 프랑스 샤바농 마을에서 어머니와 유일한 친구 젖소 루세트와 함께 가난하지만 행복하게 산다. 그러던 어느 날, 다리를 다친 아버지가 집에 돌아오고 레미는 자신이 친아들이 아니라는 충격적인 사실을 알게 된다. 아버지는 아내를 속이고 레미를 고아원에 보내기 위해 마을로 데리고 간다. 아버지의 본심을 알게 된 레미는 ...							",앙트완 블로시에르,"다니엘 오떼유,말룸 파킨,루디빈 사니에,비에르지니 르도엔,조나단 자카이,자끄 페랭",6.00,
"http://image.cine21.com/resize/cine21/poster/2019/0925/18_03_53__5d8b2d79bc342[X230,330].jpg",양자물리학,By Quantum Physics: A Nightlife Venture,개봉일 : 2019-09-25,,범죄,"
					
									‘생각이 현실을 만든다’라는 양자물리학적 신념을 인생의 모토로 삼은 유흥계의 화타 ‘이찬우’,
,
어느 날 유명 연예인이 연루된 마약 파티 사건을 눈치챈다.,
“불법 없이! 탈세 없이!” 이 바닥에서도 혁신이 일어나야 한다고 믿는 그는,
오랫동안 알고지낸 범죄정보과 계장 ‘박기헌’에게 이 정보를 흘린다.,
,
단순한 사건이라고 생각했던 마약파티가 연예계는 물론 검찰, 정치계까지 연루된 ,
거대한 마약 스캔들임을 알게 된 '이찬우'.,
이제는 살기 위해 거대 권력과 맞서야 하는 상황.,
,
'이찬우’는 ‘박기헌’ 계장을 비롯해 황금인맥을 자랑하는 업계 퀸 ‘성은영’ 등 업계 에이스들과 함께 이 사건을 파헤치기로 한다.,
,
,				","
							유흥업계의 화타 이찬우(박해수)는 실력 있는 프로듀서 성은영(서예지)과 사업파트너가 되며 성공에 한 발짝 더 가까워진다. 그러나 자신의 클럽에서 목격한 인기 가수의 마약 스캔들이 정재계 인사로까지 번져나가며 찬우는 거대한 게이트에 휘말리게 된다.검찰과 언론, 경찰과 청와대의 팽팽한 줄다리기 속에서 자신을 지켜줄 사람은 찬우 자신뿐이다. 비밀을 간직한 여인 은영,...							",이성태,"박해수,서예지,김상호,김응수,변희봉,김영재,이창훈,임철수,현봉식,주석태",4.50,4.80
"http://image.cine21.com/resize/cine21/poster/2011/0613/M0010007_poster[X230,330].jpg",소중한 날의 꿈,Green Days,개봉일 : 2011-06-23,"누적관객 : 52,010명",애니메이션,"
					
									,
									넘어져 버린 이랑이의 꿈..,
그 꿈을 일으켜 줄 친구를 만나다!,
달리기에서만은 한 번도 져 본적 없던 이랑은 계주에서 처음으로 상대에게 추월당하자 지지 않기 위해 일부러 넘어진다. 그 후, 이랑은 육상부 선생님의 끈질긴 설득에도 불구하고 지는 것이 두려워 달리기를 하지 않게 된다. 어느 날 이랑은 레코드 가게에서 서울에서 온 전학생 수민을 만나 친구가 된다. 수민은 얼굴도 예쁘고 어른스러워서 남학생들에게 인기가 많다. 이랑은 항상 자신감 넘치는 수민을 보며 잘하는 것 하나 없는 스스로에 대해 고민하기 시작한다.,
,
선물처럼 나타난 또 다른 친구..,
난생처음 다가온 설레임!,
어느 날 학교에서 철수라는 남학생이 비행실험을 하다 추락해 다치는 소동이 일어나고 이랑은 철수에게 호기심을 갖게 된다. 그러던 중 이랑은 우연히 철수를 만나게 되고 두 사람은 그 날의 비행실험에 대해 이야기를 나누며 가까워진다. 이랑을 자신의 아지트에 초대한 철수는 이랑에게 자신의 발명품을 보여주며 비행과 우주탐사에 대한 꿈을 이야기 한다. 함께 시간을 나누며 서로에 대해 더 알아가기 시작하는 두 사람. 이랑은 첫 만남에서 자신의 이야기에 고개를 끄덕여 준 이랑으로 인해 스스로에게 자신감이 생겼다는 철수의 말에 설레인다.,
,
한편, 꿈과 재능이 넘치는 수민과 철수를 만나며 자신의 미래에 대해 더욱 고민하던 이랑은 다시꿈을 꾸게 되는데 …….,
과연 이랑은 다시 달릴 수 있을까?,
 				","
							꿈 많은 여고생 이랑(박신혜)은 달리기를 잘한다. 그녀에게 달리기는 유일하게 내세울 수 있는 재능이지만 경기에서 뒤처지자 일부러 넘어지면서 친구를 속이고 자기 자신마저 속인다. 그 일로부터 달리기를 그만둔 이랑은 서울에서 전학 온 당찬 성격의 수민(오연서)과 우정을 나누고, 우주비행사가 꿈인 철수(송창의)와 애틋한 첫사랑에 빠지면서 변화를 겪는다.<소중한 ...							","안재훈,한혜진","박신혜,송창의,오연서",7.00,8.00
"http://image.cine21.com/resize/cine21/poster/2019/1204/17_28_34__5de76e32af65e[X230,330].jpg",감쪽같은 그녀,A Little Princess,개봉일 : 2019-12-04,,드라마,"
					
									,
									특기는 자수, 용돈 벌이는 그림 맞추기(?),
동네를 주름 잡으며 나 혼자 잘 살고 있던 ‘말순’ 할매 앞에 ,
다짜고짜 자신을 손녀라고 소개하는 열두 살 ‘공주’가 ,
갓난 동생 ‘진주’까지 업고 찾아온다.,
,
외모, 성격, 취향까지 모든 것이 극과 극인 ‘말순’과 ‘공주’는,
티격태격 하루도 조용할 날 없이 지내지만,,
필요한 순간엔 든든한 내 편이 되어주며 서로에게 특별한 존재가 되어간다.,
하지만 ‘말순’은 시간이 갈수록 ‘공주’와의 동거생활이,
아득하고 깜깜하게만 느껴지는데…				","
							다짜고짜 갓난아기를 업고 말순(나문희)의 집에 찾아온 공주(김수안)는 자신이 말순의 친손녀라고 주장한다. 경치 좋은 마루에서 고스톱을 치며 낭만을 즐기던 말순은 갑자기 나타난 12살 초등학생 손녀와 그 손녀가 동생이라며 데려온 어린 진주 때문에 일상이 꼬여만 간다. 아이가 아이를 돌보는 상황이 그리 순탄할 리 없기에, 공주가 마트에서 증정용 기저귀를 공짜로 가져오려다...							",허인무,"나문희,김수안,고규필,임한빈,강보경,진선미,천우희,심완준,최정윤",5.00,7.33
